company,batch,website,industries,one_liner,description,founder_name,founder_linkedin,yc_url
Groww,Winter 2018,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Making financial services simple, transparent and delightful.","Making financial services simple, transparent and delightful. . Founded in 2016 by Ishan Bansal, Harsh Jain, Lalit Keshre, and Neeraj Singh, Groww has 1050 employees based in Bengaluru. Groww is hiring for 2 roles in engineering.",Lalit Keshre,https://www.linkedin.com/in/lalitkeshre,https://www.ycombinator.com/companies/groww
Groww,Winter 2018,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Making financial services simple, transparent and delightful.","Making financial services simple, transparent and delightful. . Founded in 2016 by Ishan Bansal, Harsh Jain, Lalit Keshre, and Neeraj Singh, Groww has 1050 employees based in Bengaluru. Groww is hiring for 2 roles in engineering.",Ishan Bansal,https://in.linkedin.com/in/ishan-bansal-8678b216,https://www.ycombinator.com/companies/groww
Groww,Winter 2018,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Making financial services simple, transparent and delightful.","Making financial services simple, transparent and delightful. . Founded in 2016 by Ishan Bansal, Harsh Jain, Lalit Keshre, and Neeraj Singh, Groww has 1050 employees based in Bengaluru. Groww is hiring for 2 roles in engineering.",Harsh Jain,https://in.linkedin.com/in/harshjainiitd,https://www.ycombinator.com/companies/groww
Groww,Winter 2018,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Making financial services simple, transparent and delightful.","Making financial services simple, transparent and delightful. . Founded in 2016 by Ishan Bansal, Harsh Jain, Lalit Keshre, and Neeraj Singh, Groww has 1050 employees based in Bengaluru. Groww is hiring for 2 roles in engineering.",Neeraj Singh,https://www.linkedin.com/in/neeraj-singh-a910819,https://www.ycombinator.com/companies/groww
Meesho,Summer 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Democratizing internet commerce for everyone in India,"Democratizing internet commerce for everyone in India. Founded in 2015 by Vidit Aatrey and Sanjeev Barnwal, Meesho has 1450 employees based in Bengaluru.",Vidit Aatrey,https://www.linkedin.com/in/vidit-aatrey-a3639120,https://www.ycombinator.com/companies/meesho
Meesho,Summer 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Democratizing internet commerce for everyone in India,"Democratizing internet commerce for everyone in India. Founded in 2015 by Vidit Aatrey and Sanjeev Barnwal, Meesho has 1450 employees based in Bengaluru.",Sanjeev Barnwal,https://www.linkedin.com/in/sanjeev-barnwal-4099341b,https://www.ycombinator.com/companies/meesho
BillionToOne,Summer 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The genetic testing platform detecting and measuring disease.,"The genetic testing platform detecting and measuring disease. Founded in 2016 by Oguzhan Atay and David Tsao, BillionToOne has 300 employees based in San Francisco. BillionToOne is hiring for 6 roles in operations and engineering.",Oatay,https://www.linkedin.com/in/oatay,https://www.ycombinator.com/companies/billiontoone
BillionToOne,Summer 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The genetic testing platform detecting and measuring disease.,"The genetic testing platform detecting and measuring disease. Founded in 2016 by Oguzhan Atay and David Tsao, BillionToOne has 300 employees based in San Francisco. BillionToOne is hiring for 6 roles in operations and engineering.",David Tsao,https://www.linkedin.com/in/davidtsao,https://www.ycombinator.com/companies/billiontoone
Clipboard,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Every shift, Covered.","Every shift, Covered. Founded in 2016 by Wei Deng, Clipboard has 1000 employees based in San Francisco. Clipboard is hiring for 35 roles in support, operations, sales, product, and engineering.",Dengwei,https://www.linkedin.com/in/dengwei,https://www.ycombinator.com/companies/clipboard
Deel,Winter 2019,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The all-in-one HR and payroll platform for global teams,"The all-in-one HR and payroll platform for global teams. Founded in 2019 by Alex Bouaziz and Shuo Wang, Deel has 5000 employees based in San Francisco. Deel is hiring for 5 roles in sales.",Alex Bouaziz,https://www.linkedin.com/in/alexbouaziz,https://www.ycombinator.com/companies/deel
Deel,Winter 2019,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The all-in-one HR and payroll platform for global teams,"The all-in-one HR and payroll platform for global teams. Founded in 2019 by Alex Bouaziz and Shuo Wang, Deel has 5000 employees based in San Francisco. Deel is hiring for 5 roles in sales.",Shuo Wang,https://www.linkedin.com/in/shuo-wang-848a8956,https://www.ycombinator.com/companies/deel
Faire,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The global online platform empowering independent retail.,"The global online platform empowering independent retail. Founded in 2017 by Marcelo Cortes, Daniele Perito, and Max Rhodes, Faire has 900 employees based in San Francisco. Faire is hiring for 1 roles in sales.",Max Rhodes,https://www.linkedin.com/in/max-rhodes,https://www.ycombinator.com/companies/faire
Faire,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The global online platform empowering independent retail.,"The global online platform empowering independent retail. Founded in 2017 by Marcelo Cortes, Daniele Perito, and Max Rhodes, Faire has 900 employees based in San Francisco. Faire is hiring for 1 roles in sales.",Marcelo Cortes,https://www.linkedin.com/in/marcelo-cortes-b34317,https://www.ycombinator.com/companies/faire
Faire,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The global online platform empowering independent retail.,"The global online platform empowering independent retail. Founded in 2017 by Marcelo Cortes, Daniele Perito, and Max Rhodes, Faire has 900 employees based in San Francisco. Faire is hiring for 1 roles in sales.",Daniele Perito,https://www.linkedin.com/in/danieleperito,https://www.ycombinator.com/companies/faire
Flock Safety,Summer 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The first public safety operating system that eliminates crime.,"The first public safety operating system that eliminates crime. Founded in 2017 by Matt Feury and Garrett Langley, Flock Safety has 1000 employees based in Atlanta, GA, USA. Flock Safety is hiring for 7 roles in engineering.",Glangley,https://www.linkedin.com/in/glangley,https://www.ycombinator.com/companies/flock-safety
